,link,title,year,marketing_year,price,price_text,price_info,price_info_price,kms,id,category,make,model,badge,state,body_style,transmission,engine,build_date,odometer
202,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-sport-6gen-auto-awd-my22/OAG-AD-21319812/?Cr=202,2022 Subaru Outback AWD Sport 6GEN Auto AWD MY22,2022,MY22,50990.0,"$50,990 Drive Away","$49,385 Excl. Est. Govt. Charges",49385.0,11085,OAG-AD-21319812,dealer,Subaru,Outback,    Sport 6GEN   ,NSW,SUV,Automatic,4cyl 2.5L Petrol,,"11,085 km"
203,https://www.carsales.com.au/cars/details/2021-subaru-outback-awd-touring-6gen-auto-awd-my21/OAG-AD-21449703/?Cr=203,2021 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2021,MY21,49490.0,"$49,490*",Excl. Govt. Charges,49490.0,8959,OAG-AD-21449703,dealer,Subaru,Outback,    Touring 6GEN   ,SA,SUV,Automatic,4cyl 2.5L Petrol,,"8,959 km"
204,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-touring-6gen-auto-awd-my22/SSE-AD-13899606/?Cr=204,2022 Subaru Outback AWD Touring 6GEN Auto AWD MY22,2022,MY22,49550.0,"$49,550*",Excl. Govt. Charges,49550.0,18384,SSE-AD-13899606,private,Subaru,Outback,    Touring 6GEN   ,NSW,SUV,Automatic,4cyl 2.5L Petrol,,"18,384 km"
205,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-sport-6gen-auto-awd-my22/OAG-AD-21021701/?Cr=205,2022 Subaru Outback AWD Sport 6GEN Auto AWD MY22,2022,MY22,52991.0,"$52,991 Drive Away","$49,756 Excl. Est. Govt. Charges",49756.0,3888,OAG-AD-21021701,dealer,Subaru,Outback,    Sport 6GEN   ,WA,SUV,Automatic,4cyl 2.5L Petrol,,"3,888 km"
206,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-sport-6gen-auto-awd-my22/OAG-AD-21201261/?Cr=206,2022 Subaru Outback AWD Sport 6GEN Auto AWD MY22,2022,MY22,51388.0,"$51,388 Drive Away","$49,763 Excl. Est. Govt. Charges",49763.0,2035,OAG-AD-21201261,dealer,Subaru,Outback,    Sport 6GEN   ,NSW,SUV,Automatic,4cyl 2.5L Petrol,,"2,035 km"
207,https://www.carsales.com.au/cars/details/2021-subaru-outback-awd-touring-6gen-auto-awd-my21/OAG-AD-21329420/?Cr=207,2021 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2021,MY21,49980.0,"$49,980*",Excl. Govt. Charges,49980.0,22698,OAG-AD-21329420,dealer,Subaru,Outback,    Touring 6GEN   ,WA,SUV,Automatic,4cyl 2.5L Petrol,,"22,698 km"
208,https://www.carsales.com.au/cars/details/2020-subaru-outback-awd-touring-6gen-auto-awd-my21/OAG-AD-21234631/?Cr=208,2020 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2020,MY21,51950.0,"$51,950 Drive Away","$49,980 Excl. Est. Govt. Charges",49980.0,17558,OAG-AD-21234631,dealer,Subaru,Outback,    Touring 6GEN   ,SA,SUV,Automatic,4cyl 2.5L Petrol,,"17,558 km"
209,https://www.carsales.com.au/cars/details/2021-subaru-outback-awd-touring-6gen-auto-awd-my21/OAG-AD-21424287/?Cr=209,2021 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2021,MY21,49990.0,"$49,990*",Excl. Govt. Charges,49990.0,21034,OAG-AD-21424287,dealer,Subaru,Outback,    Touring 6GEN   ,NSW,SUV,Automatic,4cyl 2.5L Petrol,,"21,034 km"
210,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-touring-6gen-auto-awd-my22/SSE-AD-14167121/?Cr=210,2022 Subaru Outback AWD Touring 6GEN Auto AWD MY22,2022,MY22,49990.0,"$49,990*",Excl. Govt. Charges,49990.0,14712,SSE-AD-14167121,private,Subaru,Outback,    Touring 6GEN   ,QLD,SUV,Automatic,4cyl 2.5L Petrol,,"14,712 km"
211,https://www.carsales.com.au/cars/details/2021-subaru-outback-awd-touring-6gen-auto-awd-my21/OAG-AD-21427540/?Cr=211,2021 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2021,MY21,49990.0,"$49,990*",Excl. Govt. Charges,49990.0,11313,OAG-AD-21427540,dealer,Subaru,Outback,    Touring 6GEN   ,NSW,SUV,Automatic,4cyl 2.5L Petrol,,"11,313 km"
212,https://www.carsales.com.au/cars/details/2021-subaru-outback-awd-touring-6gen-auto-awd-my21/OAG-AD-20931773/?Cr=212,2021 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2021,MY21,49990.0,"$49,990*",Excl. Govt. Charges,49990.0,9870,OAG-AD-20931773,dealer,Subaru,Outback,    Touring 6GEN   ,NSW,SUV,Automatic,4cyl 2.5L Petrol,,"9,870 km"
213,https://www.carsales.com.au/cars/details/2021-subaru-outback-awd-touring-6gen-auto-awd-my21/OAG-AD-21055892/?Cr=213,2021 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2021,MY21,49990.0,"$49,990*",Excl. Govt. Charges,49990.0,11659,OAG-AD-21055892,dealer,Subaru,Outback,    Touring 6GEN   ,TAS,SUV,Automatic,4cyl 2.5L Petrol,,"11,659 km"
214,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-sport-6gen-auto-awd-my22/SSE-AD-13678406/?Cr=214,2022 Subaru Outback AWD Sport 6GEN Auto AWD MY22,2022,MY22,49990.0,"$49,990*",Excl. Govt. Charges,49990.0,9530,SSE-AD-13678406,private,Subaru,Outback,    Sport 6GEN   ,VIC,SUV,Automatic,4cyl 2.5L Petrol,,"9,530 km"
215,https://www.carsales.com.au/cars/details/2021-subaru-outback-awd-sport-6gen-auto-awd-my21/OAG-AD-21399506/?Cr=215,2021 Subaru Outback AWD Sport 6GEN Auto AWD MY21,2021,MY21,49990.0,"$49,990*",Excl. Govt. Charges,49990.0,11323,OAG-AD-21399506,dealer,Subaru,Outback,    Sport 6GEN   ,TAS,SUV,Automatic,4cyl 2.5L Petrol,,"11,323 km"
216,https://www.carsales.com.au/cars/details/2021-subaru-outback-awd-touring-6gen-auto-awd-my21/OAG-AD-21399507/?Cr=216,2021 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2021,MY21,49990.0,"$49,990*",Excl. Govt. Charges,49990.0,9348,OAG-AD-21399507,dealer,Subaru,Outback,    Touring 6GEN   ,TAS,SUV,Automatic,4cyl 2.5L Petrol,,"9,348 km"
217,https://www.carsales.com.au/cars/details/2021-subaru-outback-awd-touring-6gen-auto-awd-my21/OAG-AD-21405201/?Cr=217,2021 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2021,MY21,49999.0,"$49,999*",Excl. Govt. Charges,49999.0,9565,OAG-AD-21405201,dealer,Subaru,Outback,    Touring 6GEN   ,WA,SUV,Automatic,4cyl 2.5L Petrol,,"9,565 km"
218,https://www.carsales.com.au/cars/details/2021-subaru-outback-awd-touring-6gen-auto-awd-my21/OAG-AD-21371854/?Cr=218,2021 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2021,MY21,51880.0,"$51,880 Drive Away","$50,230 Excl. Est. Govt. Charges",50230.0,19704,OAG-AD-21371854,dealer,Subaru,Outback,    Touring 6GEN   ,NSW,SUV,Automatic,4cyl 2.5L Petrol,,"19,704 km"
219,https://www.carsales.com.au/cars/details/2021-subaru-outback-awd-touring-6gen-auto-awd-my21/OAG-AD-21298253/?Cr=219,2021 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2021,MY21,51951.0,"$51,951 Drive Away","$50,301 Excl. Est. Govt. Charges",50301.0,11890,OAG-AD-21298253,dealer,Subaru,Outback,    Touring 6GEN   ,NSW,SUV,Automatic,4cyl 2.5L Petrol,,"11,890 km"
220,https://www.carsales.com.au/cars/details/2021-subaru-outback-awd-touring-6gen-auto-awd-my21/OAG-AD-21311486/?Cr=220,2021 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2021,MY21,51951.0,"$51,951 Drive Away","$50,301 Excl. Est. Govt. Charges",50301.0,12236,OAG-AD-21311486,dealer,Subaru,Outback,    Touring 6GEN   ,NSW,SUV,Automatic,4cyl 2.5L Petrol,,"12,236 km"
221,https://www.carsales.com.au/cars/details/2021-subaru-outback-awd-touring-6gen-auto-awd-my21/OAG-AD-21306812/?Cr=221,2021 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2021,MY21,51990.0,"$51,990 Drive Away","$50,335 Excl. Est. Govt. Charges",50335.0,10811,OAG-AD-21306812,dealer,Subaru,Outback,    Touring 6GEN   ,NSW,SUV,Automatic,4cyl 2.5L Petrol,,"10,811 km"
222,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-touring-6gen-auto-awd-my22/SSE-AD-13963952/?Cr=222,2022 Subaru Outback AWD Touring 6GEN Auto AWD MY22,2022,MY22,50900.0,"$50,900*",Excl. Govt. Charges,50900.0,1700,SSE-AD-13963952,private,Subaru,Outback,    Touring 6GEN   ,QLD,SUV,Automatic,4cyl 2.5L Petrol,,"1,700 km"
223,https://www.carsales.com.au/cars/details/2021-subaru-outback-awd-touring-6gen-auto-awd-my21/OAG-AD-21154379/?Cr=223,2021 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2021,MY21,50990.0,"$50,990*",Excl. Govt. Charges,50990.0,19300,OAG-AD-21154379,dealer,Subaru,Outback,    Touring 6GEN   ,QLD,SUV,Automatic,4cyl 2.5L Petrol,,"19,300 km"
224,https://www.carsales.com.au/cars/details/2021-subaru-outback-awd-touring-6gen-auto-awd-my21/OAG-AD-21231278/?Cr=224,2021 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2021,MY21,53488.0,"$53,488 Drive Away","$51,287 Excl. Est. Govt. Charges",51287.0,10322,OAG-AD-21231278,dealer,Subaru,Outback,    Touring 6GEN   ,VIC,SUV,Automatic,4cyl 2.5L Petrol,,"10,322 km"
225,https://www.carsales.com.au/cars/details/2021-subaru-outback-awd-touring-6gen-auto-awd-my21/OAG-AD-21364942/?Cr=225,2021 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2021,MY21,52990.0,"$52,990 Drive Away","$51,415 Excl. Est. Govt. Charges",51415.0,19810,OAG-AD-21364942,dealer,Subaru,Outback,    Touring 6GEN   ,QLD,SUV,Automatic,4cyl 2.5L Petrol,,"19,810 km"
226,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-touring-6gen-auto-awd-my22/OAG-AD-21384353/?Cr=226,2022 Subaru Outback AWD Touring 6GEN Auto AWD MY22,2022,MY22,53450.0,"$53,450 Drive Away","$51,725 Excl. Est. Govt. Charges",51725.0,3596,OAG-AD-21384353,dealer,Subaru,Outback,    Touring 6GEN   ,NSW,SUV,Automatic,4cyl 2.5L Petrol,,"3,596 km"
227,https://www.carsales.com.au/cars/details/2021-subaru-outback-awd-touring-6gen-auto-awd-my21/OAG-AD-21368034/?Cr=227,2021 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2021,MY21,53480.0,"$53,480 Drive Away","$51,755 Excl. Est. Govt. Charges",51755.0,9607,OAG-AD-21368034,dealer,Subaru,Outback,    Touring 6GEN   ,NSW,SUV,Automatic,4cyl 2.5L Petrol,,"9,607 km"
228,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-touring-6gen-auto-awd-my22/OAG-AD-21233172/?Cr=228,2022 Subaru Outback AWD Touring 6GEN Auto AWD MY22,2022,MY22,51811.0,"$51,811*",Excl. Govt. Charges,51811.0,2078,OAG-AD-21233172,dealer,Subaru,Outback,    Touring 6GEN   ,WA,SUV,Automatic,4cyl 2.5L Petrol,,"2,078 km"
229,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-touring-6gen-auto-awd-my22/OAG-AD-21320623/?Cr=229,2022 Subaru Outback AWD Touring 6GEN Auto AWD MY22,2022,MY22,51811.0,"$51,811*",Excl. Govt. Charges,51811.0,2160,OAG-AD-21320623,dealer,Subaru,Outback,    Touring 6GEN   ,WA,SUV,Automatic,4cyl 2.5L Petrol,,"2,160 km"
