,link,title,year,marketing_year,price,price_text,price_info,id,category,make,model,badge,state,body_style,transmission,engine,build_date,odometer
118,https://www.carsales.com.au/cars/details/2019-skoda-octavia-rs-245-auto-my20/OAG-AD-20960872/?Cr=118,2019 SKODA Octavia RS 245 Auto MY20,2019,MY20,49990.0,"$49,990*",Excl. Govt. Charges,OAG-AD-20960872,dealer,SKODA,Octavia,   RS 245  ,NSW,Wagon,Automatic,4cyl 2.0L Turbo Petrol,,"26,493 km"
119,https://www.carsales.com.au/cars/details/2022-skoda-octavia-140tsi-limited-edition-auto-my23/OAG-AD-21436316/?Cr=119,2022 SKODA Octavia 140TSI Limited Edition Auto MY23,2022,MY23,52990.0,"$52,990 Drive Away","$50,806 Excl. Est. Govt. Charges",OAG-AD-21436316,dealer,SKODA,Octavia,   140TSI Limited Edition  ,VIC,Hatch,Automatic,4cyl 2.0L Turbo Petrol,,"1,412 km"
120,https://www.carsales.com.au/cars/details/2021-skoda-octavia-rs-auto-my21/SSE-AD-13842053/?Cr=120,2021 SKODA Octavia RS Auto MY21,2021,MY21,52000.0,"$52,000*",Excl. Govt. Charges,SSE-AD-13842053,private,SKODA,Octavia,   RS  ,VIC,Wagon,Automatic,4cyl 2.0L Turbo Petrol,,"12,750 km"
121,https://www.carsales.com.au/cars/details/2022-skoda-octavia-140tsi-limited-edition-auto-my23/SHRM-AD-6290074/?Cr=121,2022 SKODA Octavia 140TSI Limited Edition Auto MY23,2022,MY23,52490.0,"$52,490",Indicative Drive Away*,SHRM-AD-6290074,dealer,SKODA,Octavia,   140TSI Limited Edition  ,,Hatch,Automatic,4cyl 2.0L Turbo Petrol,,
122,https://www.carsales.com.au/cars/details/2021-skoda-octavia-rs-auto-my21/SSE-AD-13955118/?Cr=122,2021 SKODA Octavia RS Auto MY21,2021,MY21,52500.0,"$52,500*",Excl. Govt. Charges,SSE-AD-13955118,private,SKODA,Octavia,   RS  ,QLD,Hatch,Automatic,4cyl 2.0L Turbo Petrol,,"26,000 km"
123,https://www.carsales.com.au/cars/details/2022-skoda-octavia-140tsi-limited-edition-auto-my22/OAG-AD-21186905/?Cr=123,2022 SKODA Octavia 140TSI Limited Edition Auto MY22,2022,MY22,54290.0,"$54,290 Drive Away","$52,525 Excl. Est. Govt. Charges",OAG-AD-21186905,dealer,SKODA,Octavia,   140TSI Limited Edition  ,NSW,Wagon,Automatic,4cyl 2.0L Turbo Petrol,,16 km
124,https://www.carsales.com.au/cars/details/2022-skoda-octavia-140tsi-limited-edition-auto-my23/OAG-AD-21144652/?Cr=124,2022 SKODA Octavia 140TSI Limited Edition Auto MY23,2022,MY23,54990.0,"$54,990 Drive Away",Drive Away,OAG-AD-21144652,dealer,SKODA,Octavia,   140TSI Limited Edition  ,VIC,Wagon,Automatic,4cyl 2.0L Turbo Petrol,,12 km
125,https://www.carsales.com.au/cars/details/2021-skoda-octavia-rs-auto-my21/OAG-AD-21399887/?Cr=125,2021 SKODA Octavia RS Auto MY21,2021,MY21,54990.0,"$54,990 Drive Away","$52,730 Excl. Est. Govt. Charges",OAG-AD-21399887,dealer,SKODA,Octavia,   RS  ,VIC,Wagon,Automatic,4cyl 2.0L Turbo Petrol,,"33,900 km"
126,https://www.carsales.com.au/cars/details/2022-skoda-octavia-rs-auto-my22/OAG-AD-20632994/?Cr=126,2022 SKODA Octavia RS Auto MY22,2022,MY22,52888.0,"$52,888*",Excl. Govt. Charges,OAG-AD-20632994,dealer,SKODA,Octavia,   RS  ,WA,Hatch,Automatic,4cyl 2.0L Turbo Petrol,,"3,269 km"
127,https://www.carsales.com.au/cars/details/2021-skoda-octavia-rs-auto-my21/OAG-AD-21420531/?Cr=127,2021 SKODA Octavia RS Auto MY21,2021,MY21,52888.0,"$52,888*",Excl. Govt. Charges,OAG-AD-21420531,dealer,SKODA,Octavia,   RS  ,TAS,Wagon,Automatic,4cyl 2.0L Turbo Petrol,,"20,058 km"
128,https://www.carsales.com.au/cars/details/2022-skoda-octavia-140tsi-limited-edition-auto-my23/SHRM-AD-6290069/?Cr=128,2022 SKODA Octavia 140TSI Limited Edition Auto MY23,2022,MY23,53260.0,"$53,260",Indicative Drive Away*,SHRM-AD-6290069,dealer,SKODA,Octavia,   140TSI Limited Edition  ,,Hatch,Automatic,4cyl 2.0L Turbo Petrol,,
129,https://www.carsales.com.au/cars/details/2022-skoda-octavia-140tsi-limited-edition-auto-my23/SHRM-AD-6300819/?Cr=129,2022 SKODA Octavia 140TSI Limited Edition Auto MY23,2022,MY23,53260.0,"$53,260",Indicative Drive Away*,SHRM-AD-6300819,dealer,SKODA,Octavia,   140TSI Limited Edition  ,,Hatch,Automatic,4cyl 2.0L Turbo Petrol,,
130,https://www.carsales.com.au/cars/details/2022-skoda-octavia-140tsi-limited-edition-auto-my23/SHRM-AD-6290068/?Cr=130,2022 SKODA Octavia 140TSI Limited Edition Auto MY23,2022,MY23,53260.0,"$53,260",Indicative Drive Away*,SHRM-AD-6290068,dealer,SKODA,Octavia,   140TSI Limited Edition  ,,Hatch,Automatic,4cyl 2.0L Turbo Petrol,,
131,https://www.carsales.com.au/cars/details/2022-skoda-octavia-140tsi-limited-edition-auto-my23/SHRM-AD-6290067/?Cr=131,2022 SKODA Octavia 140TSI Limited Edition Auto MY23,2022,MY23,53260.0,"$53,260",Indicative Drive Away*,SHRM-AD-6290067,dealer,SKODA,Octavia,   140TSI Limited Edition  ,,Hatch,Automatic,4cyl 2.0L Turbo Petrol,,
132,https://www.carsales.com.au/cars/details/2022-skoda-octavia-140tsi-limited-edition-auto-my23/SHRM-AD-6302354/?Cr=132,2022 SKODA Octavia 140TSI Limited Edition Auto MY23,2022,MY23,53260.0,"$53,260",Indicative Drive Away*,SHRM-AD-6302354,dealer,SKODA,Octavia,   140TSI Limited Edition  ,,Hatch,Automatic,4cyl 2.0L Turbo Petrol,,
133,https://www.carsales.com.au/cars/details/2022-skoda-octavia-140tsi-limited-edition-auto-my23/SHRM-AD-6290071/?Cr=133,2022 SKODA Octavia 140TSI Limited Edition Auto MY23,2022,MY23,53260.0,"$53,260",Indicative Drive Away*,SHRM-AD-6290071,dealer,SKODA,Octavia,   140TSI Limited Edition  ,,Hatch,Automatic,4cyl 2.0L Turbo Petrol,,
134,https://www.carsales.com.au/cars/details/2022-skoda-octavia-140tsi-limited-edition-auto-my23/SHRM-AD-6290072/?Cr=134,2022 SKODA Octavia 140TSI Limited Edition Auto MY23,2022,MY23,53260.0,"$53,260",Indicative Drive Away*,SHRM-AD-6290072,dealer,SKODA,Octavia,   140TSI Limited Edition  ,,Hatch,Automatic,4cyl 2.0L Turbo Petrol,,
135,https://www.carsales.com.au/cars/details/2022-skoda-octavia-140tsi-limited-edition-auto-my23/SHRM-AD-6290075/?Cr=135,2022 SKODA Octavia 140TSI Limited Edition Auto MY23,2022,MY23,53260.0,"$53,260",Indicative Drive Away*,SHRM-AD-6290075,dealer,SKODA,Octavia,   140TSI Limited Edition  ,,Hatch,Automatic,4cyl 2.0L Turbo Petrol,,
136,https://www.carsales.com.au/cars/details/2022-skoda-octavia-140tsi-limited-edition-auto-my23/SHRM-AD-6290073/?Cr=136,2022 SKODA Octavia 140TSI Limited Edition Auto MY23,2022,MY23,53260.0,"$53,260",Indicative Drive Away*,SHRM-AD-6290073,dealer,SKODA,Octavia,   140TSI Limited Edition  ,,Hatch,Automatic,4cyl 2.0L Turbo Petrol,,
137,https://www.carsales.com.au/cars/details/2021-skoda-octavia-rs-auto-my22/OAG-AD-20598922/?Cr=137,2021 SKODA Octavia RS Auto MY22,2021,MY22,54990.0,"$54,990 Drive Away","$53,358 Excl. Est. Govt. Charges",OAG-AD-20598922,dealer,SKODA,Octavia,   RS  ,QLD,Wagon,Automatic,4cyl 2.0L Turbo Petrol,,550 km
