,link,title,year,marketing_year,drive_away_price,ex_gov_price,price_text,price_info,kms,id,category,make,model,badge,state,body_style,transmission,engine,seller_type,build_date,odometer
211,https://www.carsales.com.au/cars/details/2016-subaru-outback-2-0d-premium-5gen-auto-awd-my16/SSE-AD-13733131/?Cr=211,2016 Subaru Outback 2.0D Premium 5GEN Auto AWD MY16,2016,MY16,,26500.0,"$26,500*",Excl. Govt. Charges,113000,SSE-AD-13733131,private,Subaru,Outback,2.0D Premium 5GEN  AWD,QLD,SUV,Automatic,4cyl 2.0L Turbo Diesel,Private Seller Car,,"113,000 km"
212,https://www.carsales.com.au/cars/details/2017-subaru-outback-2-5i-5gen-auto-awd-my18/OAG-AD-21313130/?Cr=212,2017 Subaru Outback 2.5i 5GEN Auto AWD MY18,2017,MY18,27888.0,26720.0,"$27,888 Drive Away","$26,720 Excl. Est. Govt. Charges",100698,OAG-AD-21313130,dealer,Subaru,Outback,2.5i 5GEN  AWD,VIC,SUV,Automatic,4cyl 2.5L Petrol,Dealer Used Car,,"100,698 km"
213,https://www.carsales.com.au/cars/details/2018-subaru-outback-2-5i-5gen-auto-awd-my18/OAG-AD-21313121/?Cr=213,2018 Subaru Outback 2.5i 5GEN Auto AWD MY18,2018,MY18,27888.0,26720.0,"$27,888 Drive Away","$26,720 Excl. Est. Govt. Charges",117198,OAG-AD-21313121,dealer,Subaru,Outback,2.5i 5GEN  AWD,VIC,SUV,Automatic,4cyl 2.5L Petrol,Dealer Used Car,,"117,198 km"
214,https://www.carsales.com.au/cars/details/2018-subaru-outback-2-0d-5gen-auto-awd-my19/OAG-AD-21440835/?Cr=214,2018 Subaru Outback 2.0D 5GEN Auto AWD MY19,2018,MY19,27888.0,26720.0,"$27,888 Drive Away","$26,720 Excl. Est. Govt. Charges",131141,OAG-AD-21440835,dealer,Subaru,Outback,2.0D 5GEN  AWD,VIC,SUV,Automatic,4cyl 2.0L Turbo Diesel,Dealer Used Car,,"131,141 km"
215,https://www.carsales.com.au/cars/details/2015-subaru-outback-3-6r-5gen-auto-awd-my15/OAG-AD-21141340/?Cr=215,2015 Subaru Outback 3.6R 5GEN Auto AWD MY15,2015,MY15,,26750.0,"$26,750*",Excl. Govt. Charges,126040,OAG-AD-21141340,dealer,Subaru,Outback,3.6R 5GEN  AWD,NSW,SUV,Automatic,6cyl 3.6L Petrol,Dealer Used Car,,"126,040 km"
216,https://www.carsales.com.au/cars/details/2015-subaru-outback-2-5i-premium-5gen-auto-awd-my16/SSE-AD-14130154/?Cr=216,2015 Subaru Outback 2.5i Premium 5GEN Auto AWD MY16,2015,MY16,,26750.0,"$26,750*",Excl. Govt. Charges,191000,SSE-AD-14130154,private,Subaru,Outback,2.5i Premium 5GEN  AWD,NSW,SUV,Automatic,4cyl 2.5L Petrol,Private Seller Car,,"191,000 km"
217,https://www.carsales.com.au/cars/details/2016-subaru-outback-3-6r-5gen-auto-awd-my16/SSE-AD-13304331/?Cr=217,2016 Subaru Outback 3.6R 5GEN Auto AWD MY16,2016,MY16,,26800.0,"$26,800*",Excl. Govt. Charges,119000,SSE-AD-13304331,private,Subaru,Outback,3.6R 5GEN  AWD,NSW,SUV,Automatic,6cyl 3.6L Petrol,Private Seller Car,,"119,000 km"
218,https://www.carsales.com.au/cars/details/2018-subaru-outback-2-5i-premium-5gen-auto-awd-my18/OAG-AD-20775628/?Cr=218,2018 Subaru Outback 2.5i Premium 5GEN Auto AWD MY18,2018,MY18,27990.0,26814.0,"$27,990 Drive Away","$26,814 Excl. Est. Govt. Charges",155990,OAG-AD-20775628,dealer,Subaru,Outback,2.5i Premium 5GEN  AWD,VIC,SUV,Automatic,4cyl 2.5L Petrol,Dealer Used Car,,"155,990 km"
219,https://www.carsales.com.au/cars/details/2018-subaru-outback-2-0d-5gen-auto-awd-my18/OAG-AD-21275736/?Cr=219,2018 Subaru Outback 2.0D 5GEN Auto AWD MY18,2018,MY18,27990.0,26814.0,"$27,990 Drive Away","$26,814 Excl. Est. Govt. Charges",139865,OAG-AD-21275736,dealer,Subaru,Outback,2.0D 5GEN  AWD,VIC,SUV,Automatic,4cyl 2.0L Turbo Diesel,Dealer Used Car,,"139,865 km"
220,https://www.carsales.com.au/cars/details/2015-subaru-outback-2-0d-premium-5gen-auto-awd-my15/OAG-AD-21275943/?Cr=220,2015 Subaru Outback 2.0D Premium 5GEN Auto AWD MY15,2015,MY15,27990.0,26814.0,"$27,990 Drive Away","$26,814 Excl. Est. Govt. Charges",120580,OAG-AD-21275943,dealer,Subaru,Outback,2.0D Premium 5GEN  AWD,VIC,SUV,Automatic,4cyl 2.0L Turbo Diesel,Dealer Used Car,,"120,580 km"
