,link,title,year,marketing_year,drive_away_price,ex_gov_price,price_text,price_info,kms,id,category,make,model,badge,state,body_style,transmission,engine,seller_type,build_date,odometer
0,https://www.carsales.com.au/cars/details/2014-volkswagen-golf-90tsi-7-auto-my15/SSE-AD-15135306/?Cr=0,2014 Volkswagen Golf 90TSI 7 Auto MY15,2014,MY15,,6000,"$6,000*",Excl. Govt. Charges,98000,SSE-AD-15135306,private,Volkswagen,Golf,90TSI 7,ACT,Hatch,Automatic,4cyl 1.4L Turbo Petrol,Private Seller Car,,"98,000 km"
1,https://www.carsales.com.au/cars/details/2014-volkswagen-golf-90tsi-7-manual-my15/OAG-AD-21587701/?Cr=1,2014 Volkswagen Golf 90TSI 7 Manual MY15,2014,MY15,,9499,"$9,499*",Excl. Govt. Charges,229459,OAG-AD-21587701,dealer,Volkswagen,Golf,90TSI 7 Manual,VIC,Hatch,Manual,4cyl 1.4L Turbo Petrol,Dealer Used Car,,"229,459 km"
2,https://www.carsales.com.au/cars/details/2014-volkswagen-golf-90tsi-7-auto-my14/SSE-AD-16112170/?Cr=2,2014 Volkswagen Golf 90TSI 7 Auto MY14,2014,MY14,,9500,"$9,500*",Excl. Govt. Charges,161427,SSE-AD-16112170,private,Volkswagen,Golf,90TSI 7,NSW,Hatch,Automatic,4cyl 1.4L Turbo Petrol,Private Seller Car,,"161,427 km"
3,https://www.carsales.com.au/cars/details/2014-volkswagen-golf-90tsi-7-manual-my14/SSE-AD-15249663/?Cr=3,2014 Volkswagen Golf 90TSI 7 Manual MY14,2014,MY14,,9750,"$9,750*",Excl. Govt. Charges,212085,SSE-AD-15249663,private,Volkswagen,Golf,90TSI 7 Manual,VIC,Hatch,Manual,4cyl 1.4L Turbo Petrol,Private Seller Car,,"212,085 km"
4,https://www.carsales.com.au/cars/details/2014-volkswagen-golf-90tsi-7-auto-my14/SSE-AD-15454109/?Cr=4,2014 Volkswagen Golf 90TSI 7 Auto MY14,2014,MY14,,10500,"$10,500*",Excl. Govt. Charges,184868,SSE-AD-15454109,private,Volkswagen,Golf,90TSI 7,QLD,Hatch,Automatic,4cyl 1.4L Turbo Petrol,Private Seller Car,,"184,868 km"
5,https://www.carsales.com.au/cars/details/2014-volkswagen-golf-90tsi-comfortline-7-manual-my14/SSE-AD-14676715/?Cr=5,2014 Volkswagen Golf 90TSI Comfortline 7 Manual MY14,2014,MY14,,10500,"$10,500*",Excl. Govt. Charges,160000,SSE-AD-14676715,private,Volkswagen,Golf,90TSI Comfortline 7 Manual,VIC,Hatch,Manual,4cyl 1.4L Turbo Petrol,Private Seller Car,,"160,000 km"
6,https://www.carsales.com.au/cars/details/2014-volkswagen-golf-90tsi-7-auto-my15/SSE-AD-16041269/?Cr=6,2014 Volkswagen Golf 90TSI 7 Auto MY15,2014,MY15,,10750,"$10,750*",Excl. Govt. Charges,129550,SSE-AD-16041269,private,Volkswagen,Golf,90TSI 7,QLD,Hatch,Automatic,4cyl 1.4L Turbo Petrol,Private Seller Car,,"129,550 km"
7,https://www.carsales.com.au/cars/details/2014-volkswagen-golf-90tsi-7-manual-my15/SSE-AD-15208362/?Cr=7,2014 Volkswagen Golf 90TSI 7 Manual MY15,2014,MY15,,10900,"$10,900*",Excl. Govt. Charges,157000,SSE-AD-15208362,private,Volkswagen,Golf,90TSI 7 Manual,VIC,Hatch,Manual,4cyl 1.4L Turbo Petrol,Private Seller Car,,"157,000 km"
8,https://www.carsales.com.au/cars/details/2014-volkswagen-golf-90tsi-7-auto-my14/SSE-AD-16056327/?Cr=8,2014 Volkswagen Golf 90TSI 7 Auto MY14,2014,MY14,,10990,"$10,990*",Excl. Govt. Charges,159480,SSE-AD-16056327,private,Volkswagen,Golf,90TSI 7,QLD,Hatch,Automatic,4cyl 1.4L Turbo Petrol,Private Seller Car,,"159,480 km"
9,https://www.carsales.com.au/cars/details/2014-volkswagen-golf-90tsi-7-auto-my15/SSE-AD-15700637/?Cr=9,2014 Volkswagen Golf 90TSI 7 Auto MY15,2014,MY15,,10990,"$10,990*",Excl. Govt. Charges,183000,SSE-AD-15700637,private,Volkswagen,Golf,90TSI 7,VIC,Hatch,Automatic,4cyl 1.4L Turbo Petrol,Private Seller Car,,"183,000 km"
10,https://www.carsales.com.au/cars/details/2014-volkswagen-golf-90tsi-7-auto-my14/OAG-AD-22567377/?Cr=10,2014 Volkswagen Golf 90TSI 7 Auto MY14,2014,MY14,,10998,"$10,998*",Excl. Govt. Charges,170963,OAG-AD-22567377,dealer,Volkswagen,Golf,90TSI 7,WA,Hatch,Automatic,4cyl 1.4L Turbo Petrol,Dealer Used Car,,"170,963 km"
11,https://www.carsales.com.au/cars/details/2014-volkswagen-golf-90tsi-comfortline-7-manual-my15/SSE-AD-16003002/?Cr=11,2014 Volkswagen Golf 90TSI Comfortline 7 Manual MY15,2014,MY15,,11000,"$11,000*",Excl. Govt. Charges,208000,SSE-AD-16003002,private,Volkswagen,Golf,90TSI Comfortline 7 Manual,VIC,Hatch,Manual,4cyl 1.4L Turbo Petrol,Private Seller Car,,"208,000 km"
12,https://www.carsales.com.au/cars/details/2014-volkswagen-golf-90tsi-comfortline-7-manual-my15/SSE-AD-14733730/?Cr=12,2014 Volkswagen Golf 90TSI Comfortline 7 Manual MY15,2014,MY15,,11000,"$11,000*",Excl. Govt. Charges,220000,SSE-AD-14733730,private,Volkswagen,Golf,90TSI Comfortline 7 Manual,QLD,Hatch,Manual,4cyl 1.4L Turbo Petrol,Private Seller Car,,"220,000 km"
