,link,title,year,marketing_year,price,price_text,price_info,id,category,make,model,badge,state,body_style,transmission,engine,build_date,odometer
150,https://www.carsales.com.au/cars/details/2013-ford-mondeo-lx-tdci-mc-auto/SSE-AD-13648110/?Cr=150,2013 Ford Mondeo LX TDCi MC Auto,2013,,11200,"$11,200*",Excl. Govt. Charges,SSE-AD-13648110,private,Ford,Mondeo,   LX TDCi MC ,VIC,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"153,000 km"
151,https://www.carsales.com.au/cars/details/2017-ford-mondeo-ambiente-md-auto-my17-5/OAG-AD-21203324/?Cr=151,2017 Ford Mondeo Ambiente MD Auto MY17.5,2017,MY17.5,20990,"$20,990 Drive Away","$20,100 Excl. Est. Govt. Charges",OAG-AD-21203324,dealer,Ford,Mondeo,   Ambiente MD  ,VIC,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"83,503 km"
152,https://www.carsales.com.au/cars/details/2008-ford-mondeo-tdci-ma-auto/SSE-AD-12182963/?Cr=152,2008 Ford Mondeo TDCi MA Auto,2008,,9000,"$9,000*",Excl. Govt. Charges,SSE-AD-12182963,private,Ford,Mondeo,   TDCi MA ,QLD,Hatch,Automatic,4cyl 2.0L Turbo Diesel,,"123,545 km"
153,https://www.carsales.com.au/cars/details/2017-ford-mondeo-ambiente-md-auto-my17/OAG-AD-21260684/?Cr=153,2017 Ford Mondeo Ambiente MD Auto MY17,2017,MY17,19990,"$19,990 Drive Away","$19,142 Excl. Est. Govt. Charges",OAG-AD-21260684,dealer,Ford,Mondeo,   Ambiente MD  ,VIC,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"123,057 km"
154,https://www.carsales.com.au/cars/details/2016-ford-mondeo-trend-md-auto/SSE-AD-12884050/?Cr=154,2016 Ford Mondeo Trend MD Auto,2016,,20990,"$20,990*",Excl. Govt. Charges,SSE-AD-12884050,private,Ford,Mondeo,   Trend MD ,NSW,Hatch,Automatic,4cyl 2.0L Turbo Diesel,,"102,000 km"
155,https://www.carsales.com.au/cars/details/2016-ford-mondeo-trend-md-auto/SSE-AD-13254042/?Cr=155,2016 Ford Mondeo Trend MD Auto,2016,,17000,"$17,000*",Excl. Govt. Charges,SSE-AD-13254042,private,Ford,Mondeo,   Trend MD ,ACT,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"108,989 km"
156,https://www.carsales.com.au/cars/details/2013-ford-mondeo-lx-tdci-mc-auto/SSE-AD-13926164/?Cr=156,2013 Ford Mondeo LX TDCi MC Auto,2013,,10500,"$10,500*",Excl. Govt. Charges,SSE-AD-13926164,private,Ford,Mondeo,   LX TDCi MC ,VIC,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"83,000 km"
157,https://www.carsales.com.au/cars/details/2016-ford-mondeo-titanium-md-auto/SSE-AD-13995944/?Cr=157,2016 Ford Mondeo Titanium MD Auto,2016,,25990,"$25,990*",Excl. Govt. Charges,SSE-AD-13995944,private,Ford,Mondeo,   Titanium MD ,SA,Hatch,Automatic,4cyl 2.0L Turbo Diesel,,"67,000 km"
158,https://www.carsales.com.au/cars/details/2007-ford-mondeo-xr5-turbo-ma-manual/SSE-AD-13785561/?Cr=158,2007 Ford Mondeo XR5 Turbo MA Manual,2007,,8750,"$8,750*",Excl. Govt. Charges,SSE-AD-13785561,private,Ford,Mondeo,   XR5 Turbo MA Manual,QLD,Hatch,Manual,5cyl 2.5L Turbo Petrol,,"201,100 km"
159,https://www.carsales.com.au/cars/details/2013-ford-mondeo-lx-tdci-mc-auto/SSE-AD-13658574/?Cr=159,2013 Ford Mondeo LX TDCi MC Auto,2013,,10500,"$10,500*",Excl. Govt. Charges,SSE-AD-13658574,private,Ford,Mondeo,   LX TDCi MC ,VIC,Hatch,Automatic,4cyl 2.0L Turbo Diesel,,"166,201 km"
160,https://www.carsales.com.au/cars/details/2016-ford-mondeo-ambiente-md-auto/SSE-AD-13638748/?Cr=160,2016 Ford Mondeo Ambiente MD Auto,2016,,16500,"$16,500*",Excl. Govt. Charges,SSE-AD-13638748,private,Ford,Mondeo,   Ambiente MD ,NSW,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"91,000 km"
161,https://www.carsales.com.au/cars/details/2013-ford-mondeo-lx-mc-auto/SSE-AD-13726653/?Cr=161,2013 Ford Mondeo LX MC Auto,2013,,9950,"$9,950*",Excl. Govt. Charges,SSE-AD-13726653,private,Ford,Mondeo,   LX MC ,NSW,Hatch,Automatic,4cyl 2.3L Petrol,,"108,225 km"
162,https://www.carsales.com.au/cars/details/2012-ford-mondeo-titanium-ecoboost-mc-auto/SSE-AD-7129832/?Cr=162,2012 Ford Mondeo Titanium EcoBoost MC Auto,2012,,11000,"$11,000*",Excl. Govt. Charges,SSE-AD-7129832,private,Ford,Mondeo,   Titanium EcoBoost MC ,VIC,Hatch,Automatic,4cyl 2.0L Turbo Petrol,,"158,000 km"
163,https://www.carsales.com.au/cars/details/2011-ford-mondeo-lx-tdci-mc-auto/SSE-AD-14164167/?Cr=163,2011 Ford Mondeo LX TDCi MC Auto,2011,,2200,"$2,200*",Excl. Govt. Charges,SSE-AD-14164167,private,Ford,Mondeo,   LX TDCi MC ,VIC,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"330,000 km"
164,https://www.carsales.com.au/cars/details/2016-ford-mondeo-ambiente-md-auto/SSE-AD-14180900/?Cr=164,2016 Ford Mondeo Ambiente MD Auto,2016,,15000,"$15,000*",Excl. Govt. Charges,SSE-AD-14180900,private,Ford,Mondeo,   Ambiente MD ,NSW,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"194,000 km"
165,https://www.carsales.com.au/cars/details/2016-ford-mondeo-trend-md-auto/SSE-AD-14015375/?Cr=165,2016 Ford Mondeo Trend MD Auto,2016,,18500,"$18,500*",Excl. Govt. Charges,SSE-AD-14015375,private,Ford,Mondeo,   Trend MD ,QLD,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"127,000 km"
