,link,title,year,marketing_year,drive_away_price,ex_gov_price,price_text,price_info,kms,id,category,make,model,badge,state,body_style,transmission,engine,seller_type,build_date,odometer
0,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-21389153/?Cr=0,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,,27999.0,"$27,999*",Excl. Govt. Charges,102041,OAG-AD-21389153,dealer,Subaru,Outback,2.5i 5GEN  AWD,QLD,SUV,Automatic,4cyl 2.5L Petrol,Dealer Used Car,,"102,041 km"
1,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-21359395/?Cr=1,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,,28990.0,"$28,990*",Excl. Govt. Charges,128798,OAG-AD-21359395,dealer,Subaru,Outback,2.5i 5GEN  AWD,SA,SUV,Automatic,4cyl 2.5L Petrol,Dealer Used Car,,"128,798 km"
2,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-0d-5gen-auto-awd-my19/OAG-AD-21115293/?Cr=2,2019 Subaru Outback 2.0D 5GEN Auto AWD MY19,2019,MY19,,28990.0,"$28,990*",Excl. Govt. Charges,165089,OAG-AD-21115293,dealer,Subaru,Outback,2.0D 5GEN  AWD,QLD,SUV,Automatic,4cyl 2.0L Turbo Diesel,Dealer Used Car,,"165,089 km"
3,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-20906499/?Cr=3,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,,29888.0,"$29,888*",Excl. Govt. Charges,188799,OAG-AD-20906499,dealer,Subaru,Outback,2.5i 5GEN  AWD,VIC,SUV,Automatic,4cyl 2.5L Petrol,Dealer Used Car,,"188,799 km"
4,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-21393101/?Cr=4,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,,29990.0,"$29,990*",Excl. Govt. Charges,126520,OAG-AD-21393101,dealer,Subaru,Outback,2.5i 5GEN  AWD,WA,SUV,Automatic,4cyl 2.5L Petrol,Dealer Used Car,,"126,520 km"
5,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-21048393/?Cr=5,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,,30777.0,"$30,777*",Excl. Govt. Charges,124540,OAG-AD-21048393,dealer,Subaru,Outback,2.5i 5GEN  AWD,QLD,SUV,Automatic,4cyl 2.5L Petrol,Dealer Used Car,,"124,540 km"
6,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/SSE-AD-13891105/?Cr=6,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,,31500.0,"$31,500*",Excl. Govt. Charges,96000,SSE-AD-13891105,private,Subaru,Outback,2.5i 5GEN  AWD,VIC,SUV,Automatic,4cyl 2.5L Petrol,Private Seller Car,,"96,000 km"
7,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-21391709/?Cr=7,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,,31950.0,"$31,950*",Excl. Govt. Charges,99977,OAG-AD-21391709,dealer,Subaru,Outback,2.5i 5GEN  AWD,NSW,SUV,Automatic,4cyl 2.5L Petrol,Dealer Used Car,,"99,977 km"
8,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-20884736/?Cr=8,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,33490.0,32096.0,"$33,490 Drive Away","$32,096 Excl. Est. Govt. Charges",119175,OAG-AD-20884736,dealer,Subaru,Outback,2.5i 5GEN  AWD,VIC,SUV,Automatic,4cyl 2.5L Petrol,Dealer Used Car,,"119,175 km"
9,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-20752306/?Cr=9,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,33950.0,32930.0,"$33,950 Drive Away","$32,930 Excl. Est. Govt. Charges",59620,OAG-AD-20752306,dealer,Subaru,Outback,2.5i 5GEN  AWD,QLD,SUV,Automatic,4cyl 2.5L Petrol,Dealer Used Car,,"59,620 km"
10,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-20999204/?Cr=10,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,33990.0,32970.0,"$33,990 Drive Away","$32,970 Excl. Est. Govt. Charges",60012,OAG-AD-20999204,dealer,Subaru,Outback,2.5i 5GEN  AWD,QLD,SUV,Automatic,4cyl 2.5L Petrol,Dealer Used Car,,"60,012 km"
11,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-premium-5gen-auto-awd-my19/OAG-AD-21353650/?Cr=11,2019 Subaru Outback 2.5i Premium 5GEN Auto AWD MY19,2019,MY19,33990.0,32970.0,"$33,990 Drive Away","$32,970 Excl. Est. Govt. Charges",117703,OAG-AD-21353650,dealer,Subaru,Outback,2.5i Premium 5GEN  AWD,QLD,SUV,Automatic,4cyl 2.5L Petrol,Dealer Used Car,,"117,703 km"
12,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-21158916/?Cr=12,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,33990.0,32970.0,"$33,990 Drive Away","$32,970 Excl. Est. Govt. Charges",78466,OAG-AD-21158916,dealer,Subaru,Outback,2.5i 5GEN  AWD,QLD,SUV,Automatic,4cyl 2.5L Petrol,Dealer Used Car,,"78,466 km"
13,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-0d-5gen-auto-awd-my19/OAG-AD-21428380/?Cr=13,2019 Subaru Outback 2.0D 5GEN Auto AWD MY19,2019,MY19,,32990.0,"$32,990*",Excl. Govt. Charges,76587,OAG-AD-21428380,dealer,Subaru,Outback,2.0D 5GEN  AWD,VIC,SUV,Automatic,4cyl 2.0L Turbo Diesel,Dealer Used Car,,"76,587 km"
14,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-21364612/?Cr=14,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,,33561.0,"$33,561*",Excl. Govt. Charges,54047,OAG-AD-21364612,dealer,Subaru,Outback,2.5i 5GEN  AWD,SA,SUV,Automatic,4cyl 2.5L Petrol,Dealer Used Car,,"54,047 km"
15,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-21101554/?Cr=15,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,,33700.0,"$33,700*",Excl. Govt. Charges,65829,OAG-AD-21101554,dealer,Subaru,Outback,2.5i 5GEN  AWD,ACT,SUV,Automatic,4cyl 2.5L Petrol,Dealer Used Car,,"65,829 km"
16,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-21311344/?Cr=16,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,34774.0,33730.0,"$34,774 Drive Away","$33,730 Excl. Est. Govt. Charges",60708,OAG-AD-21311344,dealer,Subaru,Outback,2.5i 5GEN  AWD,QLD,SUV,Automatic,4cyl 2.5L Petrol,Dealer Used Car,,"60,708 km"
17,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-21421557/?Cr=17,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,,33888.0,"$33,888*",Excl. Govt. Charges,87237,OAG-AD-21421557,dealer,Subaru,Outback,2.5i 5GEN  AWD,NSW,SUV,Automatic,4cyl 2.5L Petrol,Dealer Used Car,,"87,237 km"
18,https://www.carsales.com.au/cars/details/2020-subaru-outback-2-5i-x-5gen-auto-awd-my20/OAG-AD-21337801/?Cr=18,2020 Subaru Outback 2.5i-X 5GEN Auto AWD MY20,2020,MY20,,33890.0,"$33,890*",Excl. Govt. Charges,64162,OAG-AD-21337801,dealer,Subaru,Outback,2.5i-X 5GEN  AWD,NSW,SUV,Automatic,4cyl 2.5L Petrol,Dealer Used Car,,"64,162 km"
19,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-21306556/?Cr=19,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,34950.0,33903.0,"$34,950 Drive Away","$33,903 Excl. Est. Govt. Charges",66897,OAG-AD-21306556,dealer,Subaru,Outback,2.5i 5GEN  AWD,QLD,SUV,Automatic,4cyl 2.5L Petrol,Dealer Used Car,,"66,897 km"
20,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-21334524/?Cr=20,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,34950.0,33903.0,"$34,950 Drive Away","$33,903 Excl. Est. Govt. Charges",59022,OAG-AD-21334524,dealer,Subaru,Outback,2.5i 5GEN  AWD,QLD,SUV,Automatic,4cyl 2.5L Petrol,Dealer Used Car,,"59,022 km"
